SYMBOL	1_08_AD-F	10_11_AD-F	11_12_Normal-M	26_05_Normal-M	39_08_AD-M	39_10_AD-M	4_05_Normal-M
LOC100507534	4.975064098	4.689405942	4.146154922	4.435009754	5.668997337	4.481616445	7.731088567
DPH6-AS1	4.944323334	5.166235489	5.015932732	4.627953592	4.732369614	5.289005693	5.606120953
LOC780529	5.363185334	5.012409496	5.046505394	4.938699649	5.08837132	5.172392218	5.0865555
BRD7P3	5.24102392	5.037137404	5.137212762	5.037137404	5.191799439	5.053729895	4.880442883
COL28A1	5.018040458	5.4316275	4.503846277	5.148479164	5.102425013	5.966220549	4.326215377
C8orf48	4.764025845	4.999278006	4.675990783	4.776971531	5.150523266	4.771732773	5.397149406
TINAG	4.976901998	4.935277173	5.262937532	5.242374891	4.879903759	5.145554105	4.883045096
HOXC-AS3	5.193144112	4.977127735	5.098915995	5.212597377	5.035547243	5.055858772	4.859401574
C1QTNF1-AS1	5.175862516	4.996754972	5.014519299	5.09779081	4.862186211	5.006812371	4.949738842
IL5RA	5.058892542	4.986614751	5.189230701	5.149043928	4.878718258	4.989146509	5.142006408
C1orf177	5.411697357	4.967965886	5.314960729	5.233133348	4.986208504	5.02232555	4.759244676
LAMC2	5.282536003	4.932597094	5.033956773	5.115357329	4.761676691	4.976649498	5.260279053
BMPER	4.860262085	4.725412823	5.008953732	4.832319256	5.464658572	4.719429331	4.867914384
FER1L6-AS1	5.087700964	4.966021632	5.114571753	5.212597377	5.075253582	5.116242106	4.910321248
LOC100996654	5.138413195	5.017709532	5.209091471	5.02768486	4.96750546	5.017709532	5.041023914
GJA10	5.057556553	4.946421614	5.450371232	5.138705234	4.987356374	5.353883014	4.933477555
IL20RB	5.50043299	4.949973961	5.130172262	5.175493964	5.071447589	4.917640163	4.775231525
ZBTB8B	5.063114354	4.819134373	5.104158773	5.462891982	4.895074918	5.209430832	4.900538781
ILDR1	5.195672263	5.001855634	4.98534658	5.031557829	4.987650594	5.060336226	4.902554139
C5orf47	5.219934831	5.068534729	5.052096931	5.216412006	4.978738817	5.056223973	5.052096931
DDIAS	5.005604853	4.930511738	4.943754896	4.962535313	5.059425259	5.124800501	5.220365403
HIST1H2BB	5.221109027	5.066924124	5.040881512	4.885607148	4.968914525	5.040881512	4.900890238
NR5A1	5.206224318	4.89076622	5.232587523	5.291878555	4.726978732	5.083219288	4.761342155
TIGIT	5.186907513	5.02856656	5.239465622	5.132524978	4.944878041	5.180433158	4.845952722
MS4A5	5.348893641	5.006812371	5.013699145	5.006812371	4.953053848	5.006812371	4.738232977
SATB2-AS1	5.342305026	5.002971386	5.002971386	5.133897786	5.031805319	5.163559965	4.728432874
LOC101927411	5.577390982	5.213563914	5.136549674	5.26170809	4.930346298	5.088777097	4.615463876
GPX8	5.426774308	5.518210019	5.013699145	4.972681969	4.564014945	4.992866622	4.73699643
